--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
001.328  001.328: event init
002.628  001.300: early init
002.692  000.064: locale set
003.583  000.890: init first window
012.167  008.585: inits 1
012.184  000.017: window checked
012.189  000.005: parsing arguments
014.044  000.027  000.027: require('vim.shared')
014.103  000.026  000.026: require('vim.inspect')
014.136  000.027  000.027: require('vim._options')
014.138  000.090  000.037: require('vim._editor')
014.138  000.140  000.023: require('vim._init_packages')
014.140  001.811: init lua interpreter
014.182  000.042: expanding arguments
014.203  000.021: inits 2
014.744  000.542: init highlight
015.195  000.451: clear screen
015.272  000.006  000.006: require('vim.keymap')
016.037  000.385  000.385: sourcing nvim_exec2()
016.594  001.397  001.007: require('vim._defaults')
016.596  000.003: init default mappings & autocommands
019.568  000.309  000.309: sourcing /usr/share/nvim/runtime/ftplugin.vim
020.347  000.234  000.234: sourcing /usr/share/nvim/runtime/indent.vim
020.752  000.215  000.215: sourcing /usr/share/nvim/archlinux.lua
020.755  000.392  000.177: sourcing /etc/xdg/nvim/sysinit.vim
023.560  002.730  002.730: require('config.lazy')
027.451  000.949  000.949: require('lazy')
027.479  000.008  000.008: require('ffi')
027.514  000.022  000.022: require('vim.fs')
028.208  000.692  000.692: require('vim.uri')
028.219  000.738  000.024: require('vim.loader')
029.603  001.124  001.124: require('lazy.stats')
030.253  000.621  000.621: require('lazy.core.util')
030.595  000.341  000.341: require('lazy.core.config')
033.505  001.260  001.260: require('lazy.core.handler')
034.710  000.425  000.425: require('lazy.pkg')
034.714  000.552  000.127: require('lazy.core.meta')
034.719  001.212  000.660: require('lazy.core.plugin')
034.727  004.128  001.656: require('lazy.core.loader')
039.549  000.539  000.539: require('lazy.async')
040.296  000.093  000.093: require('lazy.manage.process')
040.364  000.066  000.066: require('lazy.terminal')
040.368  000.816  000.657: require('lazy.manage.task')
040.370  001.691  000.336: require('lazy.manage.runner')
040.372  002.288  000.597: require('lazy.manage')
040.373  005.537  003.249: require('lazy.view.commands')
040.765  000.373  000.373: require('lazy.core.fragments')
